headline,article_link,is_sarcastic
An important message about Melbourne’s lockdown from the Australian Federal Government ,https://chaser.com.au/general-news/an-important-message-about-melbournes-lockdown-from-the-australian-federal-government/,1
‘I wish there had been more people who weren’t on the show’ says Friends reunion viewer ,https://chaser.com.au/entertainment/i-wish-there-was-more-people-who-werent-on-the-show-says-friends-reunion-viewer/,1
Walkeys win ‘best irony’ award for presenting journalism excellence awards on Sky News ,https://chaser.com.au/general-news/walkeys-win-best-irony-award-for-presenting-journalism-excellence-awards-on-sky-news/,1
Dozens mistake red orb in the window for a leering Barnaby Joyce ,https://chaser.com.au/general-news/dozens-mistake-red-orb-in-the-window-for-a-leering-barnaby-joyce/,1
Scott Morrison embarks on mission to the Sun after learning it’s made of gas ,https://chaser.com.au/general-news/scott-morrison-embarks-on-mission-to-the-sun-after-learning-its-made-of-gas/,1
Government solves mouse problem by releasing a million cats into the wild ,https://chaser.com.au/general-news/government-solves-mouse-problem-by-releasing-a-million-cats-into-the-wild/,1
"Vermin plague seen swarming Canberra, leaving locals mortified ",https://chaser.com.au/national/vermin-plague-seen-swarming-canberra-leaving-locals-mortified/,1
Government wastes hundreds of thousands of dollars on gas energy plant ,https://chaser.com.au/national/government-wastes-hundreds-of-thousands-of-dollars-on-gas-energy-plant/,1
PM claims he tried to table workplace guidelines but the table had cum on it ,https://chaser.com.au/national/pm-claims-he-tried-to-table-workplace-guidelines-but-the-table-had-cum-on-it/,1
Morrison asks Grace Tame if she needs a man to explain the meaning of ‘condescending’ ,https://chaser.com.au/national/morrison-asks-grace-tame-if-she-needs-a-man-to-explain-the-meaning-of-condescending/,1
Dutton’s worst fears confirmed after gay marriage leads to woman marrying vegetable ,https://chaser.com.au/general-news/duttons-worst-fears-confirmed-after-gay-marriage-leads-to-woman-marrying-vegetable/,1
First Celebrity Apprentice challenge to test if contestants can name any of the celebrities ,https://chaser.com.au/entertainment/first-celebrity-apprentice-challenge-to-test-if-contestants-can-name-any-of-the-celebrities/,1
“Young people are selfish” claims generation hoarding all the houses ,https://chaser.com.au/general-news/young-people-are-selfish-claims-generation-hoarding-all-the-houses/,1
“Who is to blame for 1/3 of Aussies irrationally fearing the EVIL DEATH JAB?” asks media ,https://chaser.com.au/general-news/who-is-to-blame-for-1-3-of-aussies-irrationally-fearing-the-evil-death-jab-asks-media/,1
Sky News demands Australia reduce anti-Semitism and go back to good old islamaphobia ,https://chaser.com.au/national/sky-news-demands-australia-reduce-anti-semitism-and-go-back-to-good-old-islamaphobia/,1
Lazy entitled Boomers told to get a jab ,https://chaser.com.au/general-news/lazy-entitled-boomers-told-to-get-a-jab/,1
Pete Evans to collab with Gold Coast hairdresser on new tin foil hat line ,https://chaser.com.au/general-news/pete-evans-to-collab-with-gold-coast-hairdresser-on-new-tin-foil-hat-line/,1
“It feels illegal to be white” says guy from country where black men are regularly murdered by police ,https://chaser.com.au/world/it-feels-illegal-to-be-white-says-guy-from-country-where-black-men-are-regularly-murdered-by-police/,1
Ben Roberts-Smith joins Space Force after learning aliens don’t have human rights ,https://chaser.com.au/general-news/ben-roberts-smith-joins-space-force-after-learning-aliens-dont-have-human-rights/,1
Confused Peter Dutton announces space force to keep out illegal aliens ,https://chaser.com.au/national/confused-peter-dutton-announces-space-force-to-keep-out-illegal-aliens/,1
Labor party calls it a day following Alan Jones endorsement ,https://chaser.com.au/national/labor-party-folds-following-alan-jones-endorsement/,1
Local genius would rather risk disease with 1% death rate than jab with 0.0017% death rate ,https://chaser.com.au/world/local-genius-would-rather-risk-disease-with-1-death-rate-than-jab-with-0-0017-death-rate/,1
Rare photo of Scomo actually working sells for $1.8 million at auction ,https://chaser.com.au/national/rare-photo-of-scomo-actually-working-sells-for-1-8-million-at-auction/,1
"Exclusive: Jogger discovers the truth, “Runner’s high is fucking bullshit!” ",https://chaser.com.au/general-news/exclusive-jogger-discovers-the-truth-runners-high-is-fucking-bullshit/,1
Virgin launch new frequent dier programme ,https://chaser.com.au/national/virgin-launch-new-frequent-dier-programme/,1
Countries supplying Israel weapons wish there was some way to stop the ‘conflict’ ,https://chaser.com.au/world/countries-supplying-israel-weapons-wish-there-was-some-way-to-stop-the-conflict/,1
Guy who spent $80m on non-existent water claims electric vehicles are a waste of money ,https://chaser.com.au/national/guy-who-spent-80m-on-non-existent-water-claims-electric-vehicles-are-a-waste-of-money/,1
Modern day Jesus? Local man conjures 8 weeks of toothpaste from empty tube ,https://chaser.com.au/general-news/modern-day-jesus-local-man-conjures-8-weeks-of-toothpaste-from-empty-tube/,1
Refugee facing indefinite detention glad to know Albo voted for it with compassion ,https://chaser.com.au/national/refugee-facing-indefinite-detention-glad-to-know-albo-voted-for-it-with-compassion/,1
Australians confused after seeing footage of Scottish treating refugees with empathy ,https://chaser.com.au/general-news/australians-confused-after-seeing-footage-of-scottish-treating-refugees-with-empathy/,1
Israeli Airstrikes kill 17 of Palestine’s most dangerous children ,https://chaser.com.au/world/israeli-airstrikes-kill-17-of-palestines-most-dangerous-children/,1
“What’s the point?” Ellen ends show after not being allowed to abuse employees anymore ,https://chaser.com.au/entertainment/whats-the-point-ellen-ends-show-after-not-being-allowed-to-abuse-employees-anymore/,1
ATO to reclassify houses as luxury items ,https://chaser.com.au/national/ato-to-reclassify-houses-as-luxury-items/,1
Treasurer heroically gives back some of the money he has cut from essential services ,https://chaser.com.au/national/treasurer-heroically-gives-back-some-of-the-money-he-has-cut-from-essential-services/,1
Government frantically erases $30 Billion DogeCoin investment from budget plan ,https://chaser.com.au/general-news/government-frantically-erases-30-billion-dogecoin-investment-from-budget/,1
"Research suggests in the feud between Melbourne and Sydney, both can fuck off ",https://chaser.com.au/general-news/research-suggests-in-the-feud-between-melbourne-and-sydney-both-can-fuck-off/,1
UN successfully stops inhumane regime with strong condemnation ,https://chaser.com.au/world/un-successfully-stops-inhumane-regime-with-strong-condemnation/,1
Liberal Party promises extra $100 billion for cum-proof desks in parliament ,https://chaser.com.au/national/liberal-party-promises-extra-100-billion-for-cum-proof-desks-in-parliament/,1
Government promises to spend extra $100 billion on announcements ,https://chaser.com.au/national/frydenberg-promise-to-spend-extra-100-billion-on-government-announcements/,1
Liberal Party releases ‘We are in major debt but debt isn’t necessarily a bad thing’ mugs ,https://chaser.com.au/national/liberal-party-releases-we-are-in-major-debt-but-debt-isnt-necessarily-a-bad-thing-mugs/,1
Liberal Minister rushed off stage after man spotted with rechargable battery ,https://chaser.com.au/national/liberal-minister-rushed-off-stage-after-man-spotted-with-rechargable-battery/,1
Housing crisis solved after government announces everyone can just Afterpay a house ,https://chaser.com.au/national/housing-crisis-solved-after-government-announces-everyone-can-just-afterpay-a-house/,1
"LNP clarifies they are ‘pro-life’ except when it involves aged care, First Nations people, climate change… ",https://chaser.com.au/national/lnp-clarifies-they-are-pro-life-except-when-it-involves-aged-care-first-nations-people-climate-change/,1
“Why is it not called Mother’s and Father’s day?” pouts Men’s Rights Activist ,https://chaser.com.au/general-news/why-is-it-not-called-mothers-and-fathers-day-pouts-mens-rights-activist/,1
Local mum thanks kids for shit present that their dad bought ,https://chaser.com.au/general-news/local-mum-thanks-kids-for-shit-present-that-their-dad-bought/,1
Local banker forced to defraud 2 more grandmas a week following cocaine price hike ,https://chaser.com.au/national/local-banker-forced-to-defraud-2-more-grandmas-a-week-following-cocaine-price-hike/,1
PM who can’t tell the difference between Taiwan and Hong Kong ready to take on China ,https://chaser.com.au/national/pm-who-cant-tell-the-difference-between-taiwan-and-hong-kong-ready-to-take-on-china/,1
“Facebook is undemocratic” complains man who tried to overturn an election ,https://chaser.com.au/general-news/facebook-is-undemocratic-says-man-who-tried-to-overturn-an-election/,1
"PM announces India ban exemption, ‘We must evacuate Adani executives’ ",https://chaser.com.au/national/pm-announces-india-ban-exemption-we-must-evacuate-adani-executives/,1
“We’d never actually jail overseas arrivals” says country with island prison full of overseas arrivals ,https://chaser.com.au/national/wed-never-actually-jail-overseas-arrivals-says-country-with-island-prison-full-of-overseas-arrivals/,1
Nation that lost a war to emus reckons it can take on China ,https://chaser.com.au/national/nation-that-lost-a-war-to-emus-reckons-it-can-take-on-china/,1
Pot calls kettle racist ,https://chaser.com.au/national/pot-calls-kettle-racist/,1
Andrew Bolt clarifies “I meant Australia’s India ban is racist in a good way” ,https://chaser.com.au/general-news/andrew-bolt-clarifies-i-meant-australias-india-ban-is-racist-in-a-good-way/,1
Government that says climate action is too expensive reckons we should start a war with China ,https://chaser.com.au/national/government-that-says-climate-action-is-too-expensive-reckons-we-should-start-a-war-with-china/,1
Government launches investigation after Australian of the Year shows leadership and integrity uncharacteristic of Aussie leaders ,https://chaser.com.au/national/government-launches-investigation-after-australian-of-the-year-shows-leadership-and-integrity-uncharacteristic-of-aussie-leaders/,1
“The devil is social media” says guy keeping kids on an island prison ,https://chaser.com.au/national/the-devil-is-social-media-says-guy-keeping-kids-in-an-island-prison/,1
Christian faith plummets following revelation Hawaii Guy was God’s pick for PM ,https://chaser.com.au/general-news/christian-faith-plummets-following-revelation-hawaii-guy-was-gods-pick-for-pm/,1
Prime Minister makes it up to Brittany Higgins by offering her a milkshake ,https://chaser.com.au/national/prime-minister-makes-it-up-to-brittany-higgins-by-offering-her-a-milkshake/,1
Nation waiting nervously to see how PM will fuck up Higgins meeting ,https://chaser.com.au/general-news/nation-waiting-nervously-to-see-how-pm-will-fuck-up-higgins-meeting/,1
God tells PM to ‘shut the fuck up and listen to Brittney Higgins’ ,https://chaser.com.au/national/god-tells-pm-to-shut-the-fuck-up-and-listen-to-brittney-higgins/,1
ASIO warns of increased risk of religious extremists after hearing ScoMo’s weird speech ,https://chaser.com.au/national/asio-warns-of-increased-risk-of-religious-extremists-after-hearing-scomos-weird-speech/,1
Government unveil new consent video that just diagnoses sex offenders with ADHD ,https://chaser.com.au/general-news/government-unveil-new-consent-video-that-just-diagnoses-sex-offenders-with-adhd/,1
Aussie media confused after seeing US journalists quit Newscorp over made up story ,https://chaser.com.au/national/aussie-media-confused-after-seeing-us-journalists-quit-newscorp-over-made-up-story/,1
Man who looks like a potato sues social media user for defamation ,https://chaser.com.au/general-news/man-who-looks-like-a-potato-sues-social-media-user-for-defamation/,1
Joe Rogan apologises for dangerous misinformation and reassures fans ‘it will happen again’ ,https://chaser.com.au/entertainment/joe-rogan-apologises-for-dangerous-misinformation-and-reassures-fans-it-will-happen-again/,1
Evil One tops polls for preferred PM ,https://chaser.com.au/national/evil-one-tops-polls-for-preferred-pm/,1
"Morrison clarifies when he said the almighty made him PM, he was talking about Murdoch ",https://chaser.com.au/national/morrison-clarifies-when-he-said-allmighty-made-him-pm-he-was-talking-about-rupert-murdoch/,1
Morrison solves vaccine debacle by ordering 20 million extra prayers ,https://chaser.com.au/national/scott-morrison-solves-vaccine-debacle-by-ordering-20m-extra-prayers/,1
PM bases climate policy on God’s approach to Jesus: ‘Our kids are going to die slowly and painfully’ ,https://chaser.com.au/national/pm-bases-climate-policy-on-gods-approach-to-jesus-our-kids-are-going-to-have-to-die-slowly-and-painfully-for-us-too/,1
‘Australia needs more Jesus’ says PM who would have Jesus locked up if he came here ,https://chaser.com.au/national/australia-needs-more-jesus-says-pm-who-would-have-jesus-locked-up-if-he-came-here/,1
People wear clothes to industry event ,https://chaser.com.au/entertainment/people-wear-clothes-to-industry-event/,1
Peter Dutton sues The Body Shop for false advertising ,https://chaser.com.au/general-news/peter-dutton-sues-body-shop-for-false-advertising/,1
“Don’t blame me for your mess” God tells Morrison ,https://chaser.com.au/national/dont-blame-me-for-this-mess-god-tells-morrison/,1
Oscars regret hiring M. Night Shaymalan to select best actor award ,https://chaser.com.au/entertainment/oscars-regret-hiring-m-night-shaymalan-to-direct-ceremony/,1
"Banned from Facebook, Craig Kelly forced to turn to OnlyFans to spread conspiracies ",https://chaser.com.au/national/banned-from-facebook-craig-kelly-forced-to-turn-to-onlyfans/,1
Man who had no problem with police murdering suspect suddenly very concerned about fair trials ,https://chaser.com.au/general-news/man-who-has-no-problem-with-police-murdering-suspects-suddenly-very-concerned-about-fair-trials/,1
Scott Morrison promises to cut inner city lefties in half by 2030 ,https://chaser.com.au/general-news/scott-morrison-promises-to-cut-inner-city-lefties-in-half-by-2030/,1
Scott Morrison reassures the nation that he has received his vaccine ,https://chaser.com.au/national/scott-morrison-reassures-the-nation-that-he-has-received-his-vaccine/,1
Dictator Dan strikes again as Perth goes into 3 day lockdown ,https://chaser.com.au/national/dictator-dan-strikes-again-as-perth-goes-into-3-day-lockdown/,1
George Christensen steps down from politics to spend less time on holiday in the Philippines ,https://chaser.com.au/national/george-christensen-steps-down-from-politics-to-spend-less-time-on-holiday-in-the-philippines/,1
Billionaire who beats up the mentally ill somehow not the villain ,https://chaser.com.au/entertainment/billionaire-who-beats-up-the-mentally-ill-somehow-not-the-villain/,1
“Men don’t need consent lessons” claims guy who wrote love letters to students ,https://chaser.com.au/general-news/men-dont-need-consent-lessons-claims-guy-who-wrote-love-letters-to-students/,1
Chauvin ruling shows justice system works if you simply stage largest protest in history ,https://chaser.com.au/national/chauvin-ruling-shows-justice-system-works-if-you-simply-stage-largest-protest-in-history/,1
Scott Morrison sets aside April 31st to meet Brittany Higgins ,https://chaser.com.au/national/scott-morrison-sets-aside-april-31st-to-meet-brittany-higgins/,1
“Thank you to George Floyd for choosing to be murdered so white people can learn murder is bad”- Nancy Pelosi ,https://chaser.com.au/world/thank-you-to-george-floyd-for-choosing-to-be-murdered-so-white-people-can-learn-murder-is-bad-nancy-pelosi/,1
“Why do school kids hate cops?” say police in the middle of strip searching teen ,https://chaser.com.au/general-news/why-do-school-kids-hate-cops-say-police-in-the-middle-of-strip-searching-teen/,1
Police minister concerned BLM poster in classroom might teach students to value black lives ,https://chaser.com.au/national/police-minister-concerned-blm-poster-in-classroom-might-teach-students-to-value-black-lives/,1
Tesla cars start killing their own drivers in bold next step towards fully driverless cars ,https://chaser.com.au/world/tesla-cars-start-killing-their-own-drivers-in-bold-next-step-towards-fully-driverless-cars/,1
Government release revised consent video replacing milkshake with a desk ,https://chaser.com.au/general-news/government-release-revised-consent-video-replacing-milkshake-with-a-desk/,1
“ABC isn’t efficient” says government spending $3.7mil on a milkshake ad ,https://chaser.com.au/national/abc-isnt-efficient-says-government-spending-3-7mil-on-a-milkshake-ad/,1
CHASER FACT-CHECK: Pm’s claim that cafes won’t stop climate change is bang on ,https://chaser.com.au/national/chaser-fact-check-pms-claim-that-cafes-wont-stop-climate-change-is-bang-on/,1
“People from the inner city won’t stop climate change” says PM citing himself as an example ,https://chaser.com.au/national/people-from-the-inner-city-wont-stop-climate-change-says-pm-citing-himself-as-an-example/,1
“Billionaires using money to make soccer into a monopoly is wrong” says NewsCorp reporter ,https://chaser.com.au/sport/billionaires-using-money-to-make-soccer-into-a-monopoly-is-wrong-says-newscorp-reporter/,1
“Lattes won’t solve climate change” says man who thinks milkshakes will solve sexual assault ,https://chaser.com.au/national/lattes-wont-solve-climate-change-says-man-who-thinks-milkshakes-will-solve-sexual-assault/,1
Byron Bay worried that influencers will hurt their reputation as anti-vax narcissists ,https://chaser.com.au/entertainment/byron-bay-worried-that-influencers-will-hurt-their-reputation-as-anti-vax-narcissists/,1
Sky News successfully debunks evolution by turning audience into Neanderthals ,https://chaser.com.au/general-news/sky-news-successfully-debunks-evolution-by-turning-audience-into-neanderthals/,1
Local man now very clear about not sexually assaulting milkshakes ,https://chaser.com.au/general-news/local-man-now-very-clear-about-not-sexually-assaulting-milkshakes/,1
Labor announces ‘net zero standing in the way of coal by 2050’ ,https://chaser.com.au/national/labor-announces-net-zero-standing-in-the-way-of-coal-by-2050/,1
Queen farewells Prince Philip by returning to Reptilian form and devouring him whole ,https://chaser.com.au/news/queen-farewells-prince-philip-by-returning-to-reptilian-form-and-devouring-him-whole/,1
Australia in trouble after learning they can only send vaccinated athletes to Olympics ,https://chaser.com.au/general-news/australia-in-trouble-after-learning-they-can-only-send-vaccinated-people-to-olympics/,1
News Corp outraged after tipoff ‘gullible’ has been taken out of dictionary ,https://chaser.com.au/general-news/news-corp-outraged-after-learning-gullible-has-been-taken-out-of-dictionary/,1
Engadine Maccas suffers flashback after disturbing image of PM squatting emerges ,https://chaser.com.au/general-news/engadine-maccas-suffers-flashback-after-disturbing-image-of-pm-squatting-emerges/,1
"We faked a story about Fairy Bread being cancelled, and the media took it hook line and sinker ",https://chaser.com.au/general-news/we-faked-a-story-about-fairy-bread-being-cancelled-and-the-media-took-it-hook-line-and-sinker/,1
"“I’m not guilty, but if I say my version of events I’ll sound guilty” says George Floyd’s murderer ",https://chaser.com.au/world/im-not-guilty-but-if-i-say-my-version-of-events-ill-sound-guilty-says-george-floyds-murderer/,1
“Not the time to discuss war crimes” says man holding press conference about Afghanistan war ,https://chaser.com.au/national/not-the-time-to-discuss-war-crimes-says-man-at-press-conference-about-afghanistan-war/,1
Australia exits Afghanistan after liberating country from brutal Australian forces ,https://chaser.com.au/national/australia-exits-afghanistan-after-liberating-country-from-brutal-australian-forces/,1
“I supported firing Holgate because it is not my job to oppose” says opposition leader ,https://chaser.com.au/national/i-supported-firing-holgate-because-it-is-not-my-job-to-oppose-says-opposition-leader/,1
Man gets blood clot trying to understand Scomo’s rollout plans ,https://chaser.com.au/national/man-gets-blood-clot-trying-to-understand-scomos-rollout-plans/,1
“We are not trying to stop NDIS funding” claims government who created a task force designed to stop NDIS funding ,https://chaser.com.au/national/we-are-not-trying-to-stop-ndis-funding-claims-government-who-created-a-task-force-designed-to-stop-ndis-funding/,1
New Jurassic Park movie to explore what it would be like if country were run by dinosaurs ,https://chaser.com.au/national/new-jurassic-park-movie-to-explore-what-it-would-be-like-if-country-were-run-by-dinosaurs/,1
"PM denies gender bias in Holgate firing, “we didn’t jizz on her desk, so it can’t be sexist” ",https://chaser.com.au/national/pm-denies-gender-bias-in-holgate-firing-we-didnt-jizz-on-her-desk-so-it-cant-be-sexist/,1
Youtuber Jake Paul to join Liberal Party front bench ,https://chaser.com.au/entertainment/youtuber-jake-paul-to-join-liberal-party-front-bench/,1
Auspost claims Holgate wasn’t home when they tried to deliver her an apology ,https://chaser.com.au/national/auspost-claims-holgate-wasnt-home-when-they-tried-to-deliver-her-an-apology/,1
"“Tucker Carlson wasn’t accidentally racist, we hired him to be intentionally racist” Lachlan Murdoch ",https://chaser.com.au/entertainment/tucker-carlson-wasnt-accidentally-racist-we-hired-him-to-be-intentionally-racist-lachlan-murdoch/,1
Channel 7 spotted burying Ben Roberts Smith story in tupperware container out the back of Martin Place ,https://chaser.com.au/national/channel-7-spotted-burying-ben-roberts-smith-story-in-tupperware-container-out-the-back-of-martin-place/,1
New rollout plan to see all Australians vaccinated by 2029 ,https://chaser.com.au/general-news/new-rollout-plan-to-see-all-australians-vaccinated-by-2029/,1
PM announces vaccine rollout will begin “sometime in the near… hey what’s that behind you?” ,https://chaser.com.au/national/pm-announces-vaccine-rollout-will-begin-sometime-in-the-near-hey-whats-that-behind-you/,1
Kerry Stokes sues Ben Roberts-Smith’s backyard for defamation ,https://chaser.com.au/general-news/kerry-stokes-sues-ben-roberts-smiths-backyard-for-defamation/,1
"Prince Philip definitely still dead, rolling news coverage confirms ",https://chaser.com.au/world/prince-philip-definitely-still-dead-rolling-news-coverage-confirms/,1
"“We know Prince Philip was racist, that’s why we loved him” says PM ",https://chaser.com.au/general-news/we-know-prince-philip-was-racist-thats-why-we-loved-him-says-pm/,1
Another Englishman fails to reach a century ,https://chaser.com.au/general-news/another-englishman-fails-to-reach-a-century/,1
Queen asks advisors whether it’s too early to set up Tinder account ,https://chaser.com.au/general-news/queen-asks-advisors-whether-its-too-early-to-set-up-tinder-account/,1
Nation rush to mourn deceased Prince in hopes of scoring day off work ,https://chaser.com.au/general-news/nation-rush-to-mourn-deceased-prince-in-hopes-of-scoring-day-off-work/,1
Gone too soon: Prince Philip dead at 182 ,https://chaser.com.au/world/gone-too-soon-prince-philip-dead-at-182/,1
Duke of Edinburgh asked whether he wishes to make any final racist remarks ,https://chaser.com.au/national/duke-of-edinburgh-asked-whether-he-wishes-to-make-any-final-racist-remarks/,1
Morrison rewards himself with new trophy to celebrate vaccine rollout ,https://chaser.com.au/national/morrison-rewards-himself-with-new-trophy-to-celebrate-vaccine-rollout/,1
Scott Morrison claims Australia’s vaccine rollout is “a local council responsibility” ,https://chaser.com.au/national/scott-morrison-claims-australias-vaccine-rollout-is-a-local-council-responsibility/,1
PM announces he has ‘secured’ a coffee from a cafe ,https://chaser.com.au/national/pm-announces-he-has-secured-a-coffee-from-a-cafe/,1
Nation shocked as Morrison decides not to distribute vaccines we never had in the first place ,https://chaser.com.au/national/nation-shocked-as-morrison-decides-not-to-distribute-vaccines-we-never-had-in-the-first-place/,1
PM announces new AstraZeneca vaccine rollout exclusively for women ,https://chaser.com.au/national/pm-announces-new-astrazeneca-vaccine-rollout-exclusively-for-women/,1
PM apologises after accidentally referring to Minister Cunt as ‘Honourable’ ,https://chaser.com.au/national/pm-apologises-after-accidentally-referring-to-minister-cunt-as-honourable/,1
Q&A to undergo radical format change with introduction of “answers” ,https://chaser.com.au/general-news/qa-to-undergo-radical-format-change-with-introduction-of-answers/,1
Guy that laughed about Pacific Islands sinking suddenly not keen on mean jokes ,https://chaser.com.au/national/guy-that-laughed-about-pacific-islands-sinking-suddenly-doesnt-like-mean-jokes/,1
Chris Uhlmann fights truth to power by asking the PM “how are you so good at everything?” ,https://chaser.com.au/general-news/chris-uhlamnn-fights-truth-to-power-by-asking-the-pm-how-are-you-so-good-at-everything/,1
Really swell guy Peter Dutton finishes up another day of caring for orphaned puppies ,https://chaser.com.au/national/really-swell-guy-peter-dutton-finishes-up-another-day-of-caring-for-orphaned-puppies/,1
PM clarifies Christine Holgate was fired from AusPost for not being corrupt enough ,https://chaser.com.au/national/pm-clarifies-christine-holgate-was-fired-from-auspost-for-not-being-corrupt-enough/,1
PM realises they somehow missed the crucial ‘starting the vaccine rollout’ step of the rollout ,https://chaser.com.au/national/pm-realises-they-somehow-missed-the-crucial-starting-the-vaccine-rollout-step-of-the-rollout/,1
Matt Gaetz announces move to Australian Liberal Party ,https://chaser.com.au/world/matt-gaetz-announces-move-to-australian-liberal-party/,1
